"Licence Area: East Midlands"
"Scenario: Consumer Transformation"
"Technology: Electric vehicles"
"Sub-Technology: Pure electric car (non autonomous)"
"Units: Electric vehicles"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Amber Valley District (B)","343","734","1436","2491","3719","5406","7607","10358","13720","17746","22456","27755","34033","40678","47337","53640","59102","72512","67311","51679"
"Ashfield District","258","547","1074","1860","2780","4042","5686","7741","10252","13262","16783","20742","25433","30400","35375","40087","44969","56961","52310","38333"
"Aylesbury Vale District","154","328","644","1117","1668","2424","3414","4648","6156","7960","10076","12452","15268","18250","21237","24066","26146","31254","29275","23318"
"Bassetlaw District","268","569","1120","1938","2899","4213","5928","8069","10691","13823","17496","21624","26514","31693","36877","41791","46279","57297","53024","40180"
"Bedford (B)","59","123","243","423","630","917","1291","1755","2324","3009","3808","4705","5769","6895","8021","9093","9928","11980","11184","8791"
"Birmingham District (B)","5","10","20","35","52","76","107","145","192","249","315","389","477","570","663","752","840","1057","973","720"
"Blaby District","245","519","1012","1753","2622","3808","5360","7300","9668","12503","15824","19557","23981","28663","33356","37797","41635","51056","47403","36420"
"Bolsover District","222","468","920","1595","2385","3468","4878","6637","8793","11374","14395","17789","21811","26070","30335","34381","38490","48587","44671","32903"
"Boston District (B)","156","333","652","1131","1689","2453","3454","4701","6225","8053","10194","12597","15446","18461","21481","24346","27349","34722","31864","23265"
"Broxtowe District (B)","278","593","1159","2011","3005","4367","6142","8364","11080","14332","18136","22416","27483","32851","38228","43321","48015","59546","55076","41634"
"Central Bedfordshire","25","50","100","175","260","380","535","725","960","1245","1575","1945","2385","2850","3315","3760","4200","5285","4865","3600"
"Charnwood District (B)","364","778","1520","2634","3937","5720","8051","10962","14519","18778","23764","29374","36016","43047","50093","56767","62981","78239","72323","54537"
"Cherwell District","35","70","140","245","364","532","749","1015","1344","1743","2205","2723","3339","3990","4641","5264","5880","7399","6811","5040"
"Cheshire East (B)","5","10","20","35","52","76","107","145","192","249","315","389","477","570","663","752","840","1057","973","720"
"Chesterfield District (B)","237","510","997","1728","2581","3749","5277","7186","9518","12310","15580","19256","23609","28220","32839","37210","41634","52490","48279","35626"
"City of Derby (B)","421","900","1757","3049","4559","6620","9314","12687","16807","21733","27504","33996","41686","49825","57981","65700","73672","93238","85650","62839"
"City of Leicester (B)","548","1177","2302","3985","5960","8660","12184","16595","21980","28421","35974","44462","54520","65167","75832","85928","96422","122181","112189","82164"
"City of Nottingham (B)","573","1222","2386","4135","6183","8981","12640","17211","22798","29484","37313","46117","56548","67590","78654","89130","99895","126330","116079","85265"
"City of Peterborough (B)","71","153","300","519","777","1128","1587","2162","2863","3704","4688","5792","7103","8490","9879","11196","12105","14339","13473","10869"
"Corby District (B)","133","281","550","957","1428","2077","2922","3977","5270","6815","8627","10661","13072","15624","18180","20605","23116","29287","26895","19701"
"Coventry District (B)","598","1273","2486","4307","6445","9361","13171","17941","23760","30726","38888","48064","58934","70444","81970","92888","104050","131450","120825","88883"
"Daventry District","291","618","1212","2102","3139","4568","6425","8745","11582","14984","18964","23437","28738","34348","39965","45292","49465","59712","55739","43795"
"Derbyshire Dales District","279","593","1161","2013","3008","4373","6153","8376","11097","14348","18162","22445","27521","32896","38277","43378","47342","57075","53300","41954"
"Doncaster District (B)","11","24","47","81","121","176","247","337","446","577","730","903","1107","1323","1539","1744","1874","2193","2069","1698"
"East Lindsey District","231","497","971","1683","2515","3651","5135","6995","9268","11982","15166","18746","22986","27473","31969","36228","40568","51225","47093","34670"
"East Northamptonshire District","256","544","1070","1856","2773","4032","5673","7721","10228","13229","16744","20691","25372","30326","35286","39990","44113","54234","50307","38511"
"East Staffordshire District (B)","237","507","987","1712","2558","3715","5227","7120","9430","12195","15432","19076","23388","27955","32533","36863","40966","51039","47133","35392"
"Erewash District (B)","257","546","1069","1854","2769","4027","5665","7712","10215","13212","16722","20665","25339","30285","35240","39938","44494","55686","51345","38300"
"Fenland District","10","20","40","70","104","152","214","290","384","498","630","778","954","1140","1326","1504","1680","2114","1946","1440"
"Gedling District (B)","264","567","1104","1917","2865","4164","5859","7979","10566","13667","17296","21377","26211","31331","36457","41313","45877","57086","52741","39676"
"Harborough District","306","649","1269","2196","3284","4771","6714","9141","12106","15661","19819","24495","30032","35896","41770","47336","51467","61606","57674","45851"
"High Peak District (B)","18","37","74","129","192","280","394","535","709","918","1162","1436","1760","2104","2447","2775","3091","3870","3568","2660"
"Hinckley and Bosworth District (B)","261","560","1098","1904","2844","4132","5816","7918","10487","13564","17166","21214","26012","31093","36180","40998","45399","56201","52011","39421"
"Huntingdonshire District","20","40","80","140","208","304","428","580","768","996","1260","1556","1908","2280","2652","3008","3360","4228","3892","2880"
"Kettering District (B)","219","465","910","1578","2359","3427","4822","6566","8697","11248","14236","17593","21573","25787","30004","34004","37786","47078","43473","32644"
"King's Lynn and West Norfolk District (B)","5","10","20","35","52","76","107","145","192","249","315","389","477","570","663","752","840","1057","973","720"
"Lichfield District","61","129","253","441","658","959","1349","1834","2428","3143","3977","4916","6026","7203","8380","9500","10460","12823","11906","9153"
"Lincoln District (B)","190","406","796","1378","2060","2993","4210","5733","7595","9821","12430","15362","18836","22514","26199","29688","33284","42108","38686","28399"
"Mansfield District","233","492","964","1673","2499","3629","5108","6954","9213","11918","15081","18638","22854","27315","31787","36022","40512","51536","47262","34408"
"Melton District (B)","201","427","835","1449","2163","3144","4424","6023","7978","10320","13061","16139","19791","23656","27525","31193","34062","41107","38375","30163"
"Milton Keynes (B)","532","1134","2217","3846","5752","8356","11756","16011","21207","27423","34708","42899","52601","62873","73162","82909","91999","114313","105661","79645"
"Newark and Sherwood District","386","822","1605","2787","4167","6059","8526","11607","15371","19886","25166","31101","38139","45581","53041","60108","66174","81076","75300","57930"
"North East Derbyshire District","263","561","1100","1907","2847","4138","5823","7930","10503","13587","17197","21251","26058","31145","36244","41072","45314","55732","51692","39548"
"North Kesteven District","319","676","1325","2300","3434","4990","7024","9562","12665","16382","20731","25624","31420","37553","43699","49524","54737","67545","62579","47647"
"North Lincolnshire (B)","10","20","40","70","104","152","214","290","384","498","630","778","954","1140","1326","1504","1680","2114","1946","1440"
"North Warwickshire District (B)","150","320","624","1078","1611","2344","3299","4490","5946","7693","9735","12030","14752","17632","20519","23252","25762","31924","29536","22351"
"North West Leicestershire District","276","586","1148","1991","2972","4324","6083","8284","10973","14193","17961","22197","27217","32532","37856","42898","47389","58421","54144","41286"
"Northampton District (B)","419","897","1753","3037","4539","6592","9278","12632","16735","21641","27388","33851","41508","49610","57730","65420","73035","91729","84479","62686"
"Nuneaton and Bedworth District (B)","264","560","1097","1901","2841","4130","5810","7914","10479","13553","17152","21198","25994","31070","36154","40970","45847","57824","53179","39219"
"Oadby and Wigston District (B)","117","253","495","855","1280","1858","2615","3562","4717","6101","7721","9544","11702","13988","16277","18445","20454","25383","23470","17726"
