"Licence Area: South West"
"Scenario: Consumer Transformation"
"Technology: Electric vehicles"
"Sub-Technology: Pure electric car (autonomous)"
"Units: Electric vehicles"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Bath and North East Somerset","0","0","0","0","0","0","1","4","16","36","62","107","170","256","369","518","733","2814","7600","16883"
"City of Bristol (B)","0","0","0","0","2","13","32","66","128","238","405","663","1028","1536","2211","3093","4022","13010","33683","73787"
"City of Plymouth (B)","0","0","0","0","0","0","0","2","5","15","33","51","87","131","189","266","386","1553","4243","9463"
"Cornwall","0","0","0","0","0","2","14","39","97","208","376","613","980","1472","2127","2977","4079","14798","39442","87243"
"Dorset","0","0","0","0","0","0","1","3","6","11","21","35","54","82","117","164","226","831","2223","4923"
"East Devon District","0","0","0","0","0","1","3","8","17","36","67","108","176","260","376","528","713","2537","6727","14854"
"Exeter District (B)","0","0","0","0","0","1","4","8","16","37","63","103","163","243","354","494","663","2311","6099","13448"
"Isles of Scilly","0","0","0","0","0","0","0","1","3","5","9","14","23","34","49","68","89","295","767","1684"
"Mendip District","0","0","0","0","0","0","1","3","8","16","28","46","72","109","158","221","310","1164","3125","6932"
"Mid Devon District","0","0","0","0","0","0","1","2","4","14","26","41","70","104","153","216","302","1138","3064","6799"
"North Devon District","0","0","0","0","0","0","2","10","21","42","76","124","201","300","433","605","826","2974","7914","17492"
"North Somerset","0","0","0","0","0","0","2","7","19","41","74","122","200","297","431","605","834","3070","8218","18201"
"Sedgemoor District","0","0","0","0","0","0","0","0","0","0","1","1","2","3","4","6","55","544","1667","3846"
"Somerset West and Taunton District","0","0","0","0","0","0","1","5","12","27","52","85","138","206","297","418","590","2235","6029","13388"
"South Gloucestershire","0","0","0","0","0","0","3","6","15","31","56","95","148","223","321","450","615","2208","5836","12875"
"South Hams District","0","0","0","0","0","0","2","6","12","27","49","82","134","201","291","407","558","2038","5438","12035"
"South Somerset District","0","0","0","0","0","0","1","2","4","13","20","33","56","81","121","169","245","968","2635","5864"
"Teignbridge District","0","0","0","0","0","0","0","3","6","20","38","60","98","149","217","305","434","1719","4665","10384"
"Torbay (B)","0","0","0","0","0","0","1","1","3","8","16","29","47","73","105","146","232","1085","3041","6832"
"Torridge District","0","0","0","0","0","0","0","2","4","15","26","44","74","109","160","224","321","1274","3459","7702"
"West Devon District (B)","0","0","0","0","0","0","1","2","5","13","23","39","64","95","138","192","263","950","2534","5602"
"Wiltshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
