"Licence Area: South Wales"
"Scenario: Consumer Transformation"
"Technology: Electric vehicles"
"Sub-Technology: Pure electric car (autonomous)"
"Units: Electric vehicles"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Abertawe - Swansea","0","0","0","0","0","0","0","3","8","23","43","71","114","169","244","348","526","2246","6200","13878"
"Blaenau Gwent - Blaenau Gwent","0","0","0","0","0","0","1","4","12","21","40","66","103","153","220","310","419","1464","3865","8527"
"Bro Morgannwg - the Vale of Glamorgan","0","0","0","0","0","0","1","3","8","22","44","71","114","166","241","344","470","1715","4576","10121"
"Caerdydd - Cardiff","0","0","0","0","0","1","7","20","42","86","155","255","401","597","864","1214","1667","6084","16244","35949"
"Caerffili - Caerphilly","0","0","0","0","0","0","1","6","13","28","51","83","133","197","285","404","560","2072","5552","12302"
"Casnewydd - Newport","0","0","0","0","0","2","4","11","20","39","70","116","180","268","388","545","735","2592","6863","15146"
"Castell-nedd Port Talbot - Neath Port Talbot","0","0","0","0","0","0","1","3","9","24","44","75","118","176","256","363","499","1826","4873","10784"
"County of Herefordshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","19"
"Forest of Dean District","0","0","0","0","0","0","0","0","0","0","1","1","2","2","3","5","7","31","87","194"
"Merthyr Tudful - Merthyr Tydfil","0","0","0","0","0","0","0","0","1","2","6","9","15","21","30","44","74","371","1057","2386"
"Pen-y-bont ar Ogwr - Bridgend","0","0","0","0","0","0","2","7","18","37","64","106","167","251","359","509","682","2370","6246","13768"
"Powys - Powys","0","0","0","0","0","0","0","1","2","8","14","23","37","55","79","113","180","831","2326","5226"
"Rhondda Cynon Taf - Rhondda Cynon Taf","0","0","0","0","1","9","27","53","103","188","329","531","831","1235","1780","2490","3219","10277","26499","57967"
"Sir Benfro - Pembrokeshire","0","0","0","0","0","0","1","5","16","37","70","114","182","266","387","550","773","2949","7946","17637"
"Sir Ceredigion - Ceredigion","0","0","0","0","0","0","0","0","0","6","10","18","28","42","62","88","136","601","1673","3750"
"Sir Fynwy - Monmouthshire","0","0","0","0","0","0","2","6","12","28","50","84","132","199","287","404","549","1958","5195","11476"
"Sir Gaerfyrddin - Carmarthenshire","0","0","0","0","0","0","0","0","2","11","20","32","52","75","109","158","270","1383","3945","8907"
"South Gloucestershire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tor-faen - Torfaen","0","0","0","0","0","0","1","2","5","12","23","38","60","89","129","181","261","1022","2774","6170"
