"Licence Area: West Midlands"
"Scenario: Consumer Transformation"
"Technology: Electric vehicles"
"Sub-Technology: Pure electric car (autonomous)"
"Units: Electric vehicles"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Bath and North East Somerset","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Birmingham District (B)","0","0","0","0","5","25","100","260","579","1137","2023","3356","5259","7890","11407","15990","21202","71800","188125","413748"
"Bromsgrove District","0","0","0","0","0","0","0","0","1","1","4","6","11","14","21","31","60","357","1044","2370"
"Cannock Chase District","0","0","0","0","0","0","0","1","2","6","11","18","29","43","62","87","134","586","1626","3645"
"Cheltenham District (B)","0","0","0","0","0","0","0","2","6","11","20","33","53","79","114","161","258","1205","3385","7611"
"Cherwell District","0","0","0","0","0","0","1","2","5","9","17","27","43","65","94","132","189","743","2016","4487"
"Cheshire East (B)","0","0","0","0","0","0","0","0","1","2","4","6","9","14","20","28","42","178","490","1095"
"City of Bristol (B)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"City of Stoke-on-Trent (B)","0","0","0","0","0","1","2","7","17","33","61","99","157","234","339","476","664","2509","6749","14967"
"City of Wolverhampton District (B)","0","0","0","0","0","0","1","2","8","15","27","45","70","106","153","213","321","1353","3729","8331"
"Cotswold District","0","0","0","0","0","0","0","0","0","2","2","4","6","10","14","18","40","247","720","1641"
"County of Herefordshire","0","0","0","0","0","0","1","4","12","23","44","72","121","176","255","362","527","2148","5875","13103"
"Derbyshire Dales District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"Dudley District (B)","0","0","0","0","0","1","2","11","21","42","79","129","203","302","439","616","861","3239","8714","19330"
"East Staffordshire District (B)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","34","75"
"Forest of Dean District","0","0","0","0","0","0","0","0","2","9","14","23","37","55","78","108","178","859","2424","5459"
"Gloucester District (B)","0","0","0","0","0","0","1","4","10","19","34","58","91","137","198","278","406","1635","4462","9947"
"High Peak District (B)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lichfield District","0","0","0","0","0","0","0","1","3","7","11","19","31","47","67","94","138","569","1556","3471"
"Malvern Hills District","0","0","0","0","0","0","0","0","1","1","3","4","10","14","23","29","56","319","923","2089"
"Newcastle-under-Lyme District (B)","0","0","0","0","0","0","0","0","0","1","1","2","4","6","9","11","35","265","791","1814"
"North Warwickshire District (B)","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","7","60","177","406"
"Powys - Powys","0","0","0","0","0","0","0","0","0","0","1","1","3","3","5","7","11","57","159","359"
"Redditch District (B)","0","0","0","0","0","0","0","0","1","1","2","3","7","10","16","20","48","306","904","2059"
"Sandwell District (B)","0","0","0","0","0","0","0","3","11","21","41","68","110","162","236","332","489","2007","5499","12274"
"Shropshire","0","0","0","0","0","0","0","2","5","14","26","42","77","109","163","223","355","1610","4494","10086"
"Sir Fynwy - Monmouthshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Solihull District (B)","0","0","0","0","0","0","0","0","3","7","13","20","33","49","71","99","152","682","1899","4256"
"South Gloucestershire","0","0","0","0","0","0","0","2","6","13","22","38","58","88","127","179","272","1177","3255","7287"
"South Northamptonshire District","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","3","10","27","59"
"South Staffordshire District","0","0","0","0","0","0","0","0","0","5","8","13","25","36","51","73","113","504","1412","3164"
"Stafford District (B)","0","0","0","0","0","0","0","2","4","10","19","30","51","72","106","148","221","929","2557","5716"
"Staffordshire Moorlands District","0","0","0","0","0","0","0","1","2","5","11","17","32","46","69","95","145","628","1739","3891"
"Stratford-on-Avon District","0","0","0","0","0","0","1","3","8","16","31","49","80","117","171","241","337","1292","3488","7739"
"Stroud District","0","0","0","0","0","0","0","1","1","4","9","14","23","32","46","66","131","777","2257","5130"
"Telford and Wrekin (B)","0","0","0","0","0","0","0","0","3","6","16","23","40","56","82","119","183","827","2304","5168"
"Tewkesbury District (B)","0","0","0","0","0","0","0","0","1","2","6","8","13","18","26","38","80","500","1467","3341"
"Walsall District (B)","0","0","0","0","0","0","1","4","12","22","42","69","109","163","237","331","481","1938","5288","11782"
"Warwick District","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","3","16","42","94"
"West Oxfordshire District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","11"
"Wiltshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Worcester District (B)","0","0","0","0","0","0","0","0","1","1","2","3","6","9","14","18","42","267","785","1787"
"Wychavon District","0","0","0","0","0","0","0","2","8","20","35","58","93","139","200","282","399","1548","4188","9307"
"Wyre Forest District","0","0","0","0","0","0","2","4","11","23","40","67","105","157","227","318","436","1583","4218","9326"
