"Licence Area: West Midlands"
"Scenario: Consumer Transformation"
"Technology: Electric vehicles"
"Sub-Technology: Pure electric car (non autonomous)"
"Units: Electric vehicles"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Bath and North East Somerset","20","42","84","146","218","316","444","592","756","934","1120","1302","1518","1748","1978","2194","2402","2914","2716","2120"
"Birmingham District (B)","3344","7158","13981","24219","36212","52602","74006","98657","126085","155683","186584","217023","253084","291265","329514","365715","402017","491127","456565","352695"
"Bromsgrove District","524","1120","2190","3796","5673","8239","11591","15451","19746","24382","29224","33989","39635","45616","51609","57276","61865","73129","68762","55633"
"Cannock Chase District","351","750","1466","2541","3800","5517","7762","10348","13224","16329","19571","22764","26545","30552","34565","38360","42223","51709","48030","36975"
"Cheltenham District (B)","429","918","1793","3106","4644","6746","9491","12652","16168","19965","23928","27831","32455","37352","42257","46898","51436","62576","58255","45271"
"Cherwell District","268","572","1120","1940","2900","4213","5926","7900","10096","12467","14942","17380","20268","23325","26388","29287","31920","38386","35878","28343"
"Cheshire East (B)","170","361","712","1235","1846","2679","3768","5023","6418","7926","9501","11049","12883","14831","16780","18619","20379","24706","23030","17989"
"City of Bristol (B)","10","21","42","73","109","158","222","296","378","467","560","651","759","874","989","1097","1201","1457","1358","1060"
"City of Stoke-on-Trent (B)","891","1906","3724","6452","9645","14012","19714","26280","33586","41470","49700","57810","67416","77585","87774","97416","107348","131725","122272","93857"
"City of Wolverhampton District (B)","806","1727","3372","5838","8731","12681","17843","23784","30399","37534","44982","52322","61016","70220","79440","88170","97227","119463","110840","84920"
"Cotswold District","322","688","1348","2334","3489","5067","7130","9502","12144","14996","17972","20903","24376","28057","31742","35225","37565","43306","41080","34387"
"County of Herefordshire","1034","2204","4315","7475","11175","16234","22834","30446","38903","48035","57575","66964","78085","89870","101677","112841","122601","146572","137278","109342"
"Derbyshire Dales District","20","42","84","146","218","316","444","592","756","934","1120","1302","1518","1748","1978","2194","2402","2914","2716","2120"
"Dudley District (B)","1080","2308","4513","7816","11685","16974","23880","31833","40683","50233","60204","70027","81661","93982","106323","118004","129749","158581","147398","113794"
"East Staffordshire District (B)","170","364","715","1241","1854","2692","3787","5047","6450","7965","9547","11103","12947","14904","16861","18710","19853","22661","21573","18301"
"Forest of Dean District","491","1052","2060","3574","5342","7758","10911","14543","18587","22952","27508","31996","37310","42942","48581","53913","58600","70107","65646","52235"
"Gloucester District (B)","431","925","1805","3126","4674","6791","9552","12734","16275","20096","24086","28014","32669","37597","42534","47207","51817","63134","58744","45554"
"High Peak District (B)","10","21","42","73","109","158","222","296","378","467","560","651","759","874","989","1097","1201","1457","1358","1060"
"Lichfield District","385","823","1610","2788","4170","6054","8519","11355","14513","17922","21479","24982","29132","33527","37931","42097","45753","54721","51243","40787"
"Malvern Hills District","558","1191","2331","4038","6038","8768","12332","16440","21006","25939","31091","36161","42168","48532","54908","60934","65601","77053","72615","59265"
"Newcastle-under-Lyme District (B)","570","1220","2382","4129","6171","8964","12611","16813","21486","26531","31798","36984","43129","49637","56155","62325","67883","81530","76238","60332"
"North Warwickshire District (B)","113","240","473","820","1226","1778","2501","3334","4260","5261","6307","7335","8553","9845","11138","12359","13463","16175","15125","11965"
"Powys - Powys","135","287","566","983","1468","2131","2996","3994","5103","6302","7555","8784","10244","11792","13343","14804","16153","19472","18187","14322"
"Redditch District (B)","342","733","1431","2483","3709","5388","7582","10106","12915","15948","19113","22232","25926","29836","33755","37463","40835","49114","45903","36254"
"Sandwell District (B)","1053","2256","4412","7643","11423","16594","23344","31123","39773","49112","58860","68462","79836","91884","103950","115367","127106","155914","144743","111161"
"Shropshire","1308","2792","5471","9477","14166","20575","28941","38585","49303","60882","72973","84872","98971","113909","128869","143018","155050","184580","173131","138709"
"Sir Fynwy - Monmouthshire","70","147","294","511","763","1106","1554","2072","2646","3269","3920","4557","5313","6118","6923","7679","8407","10199","9506","7420"
"Solihull District (B)","798","1711","3344","5793","8659","12578","17694","23588","30145","37223","44613","51891","60512","69642","78788","87442","95441","115077","107461","84576"
"South Gloucestershire","478","1022","1999","3462","5174","7516","10574","14095","18014","22243","26659","31006","36158","41615","47079","52251","56862","68183","63794","50597"
"South Northamptonshire District","20","42","84","146","218","316","444","592","756","934","1120","1302","1518","1748","1978","2194","2402","2914","2716","2120"
"South Staffordshire District","628","1339","2629","4558","6814","9895","13915","18549","23702","29271","35083","40803","47581","54767","61961","68761","74731","89399","83713","66621"
"Stafford District (B)","711","1519","2969","5149","7696","11181","15727","20966","26791","33082","39655","46120","53781","61899","70029","77718","84248","100281","94066","75379"
"Staffordshire Moorlands District","515","1096","2148","3723","5564","8084","11370","15158","19369","23920","28667","33342","38881","44750","50628","56186","61227","73607","68806","54380"
"Stratford-on-Avon District","556","1189","2326","4033","6028","8755","12315","16417","20976","25903","31049","36112","42108","48467","54833","60850","65565","77144","72654","59163"
"Stroud District","590","1263","2467","4276","6394","9285","13061","17413","22253","27478","32931","38305","44667","51409","58159","64548","69863","82905","77849","62642"
"Telford and Wrekin (B)","670","1429","2796","4846","7242","10520","14798","19728","25210","31132","37312","43398","50608","58244","65894","73129","80001","96875","90331","70667"
"Tewkesbury District (B)","571","1219","2387","4135","6182","8977","12629","16836","21515","26568","31844","37039","43189","49709","56236","62412","67209","78991","74423","60692"
"Walsall District (B)","868","1859","3633","6292","9407","13666","19228","25631","32755","40447","48475","56383","65750","75670","85609","95011","104650","128312","119135","91555"
"Warwick District","66","142","277","481","718","1043","1467","1955","2499","3086","3699","4301","5016","5773","6532","7249","7632","8570","8206","7112"
"West Oxfordshire District","45","95","188","326","487","707","993","1324","1692","2090","2505","2913","3397","3910","4424","4909","5228","6012","5708","4795"
"Wiltshire","40","84","168","292","436","632","888","1184","1512","1868","2240","2604","3036","3496","3956","4388","4804","5828","5432","4240"
"Worcester District (B)","347","743","1451","2512","3757","5457","7678","10236","13082","16152","19357","22517","26257","30219","34186","37942","41618","50639","47139","36625"
"Wychavon District","697","1489","2913","5045","7545","10957","15416","20552","26262","32429","38867","45206","52717","60671","68641","76176","82229","97087","91326","74008"
"Wyre Forest District","454","973","1902","3294","4924","7154","10062","13415","17145","21168","25372","29511","34412","39606","44807","49727","54159","65039","60818","48138"
