"Licence Area: West Midlands"
"Scenario: Consumer Transformation"
"Technology: Heat pumps"
"Sub-Technology: Domestic - Non-hybrid"
"Units: Heat pumps"

"Local Authority Name","0","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2040","2045","2050"
"Bath and North East Somerset","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","28","76","124"
"Birmingham District (B)","25","1068","5669","10303","14963","19651","26098","36293","46536","56861","67281","77462","90371","103309","116351","129457","143615","205776","265495","327580"
"Bromsgrove District","31","114","562","1015","1473","1932","2642","3793","4932","6066","7186","8318","9796","11270","12692","14108","15481","21436","27007","32438"
"Cannock Chase District","15","111","613","1117","1622","2130","2779","3914","5053","6190","7294","8357","9767","11161","12555","13945","15316","21323","27009","32659"
"Cheltenham District (B)","0","127","701","1278","1865","2457","3309","4629","5926","7239","8551","9966","11742","13521","15296","17067","18894","26662","33897","41301"
"Cherwell District","244","406","943","1480","2016","2553","3341","4353","5335","6267","7194","8108","9112","10113","11101","12080","13052","16999","20525","24045"
"Cheshire East (B)","0","29","170","314","458","595","755","1060","1361","1660","1956","2250","2653","3056","3463","3872","4277","6104","7888","9655"
"City of Bristol (B)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","38","62"
"City of Stoke-on-Trent (B)","13","207","1282","2359","3436","4528","6221","9292","12419","15671","18814","21891","25751","29590","33382","37019","40782","57062","72934","89456"
"City of Wolverhampton District (B)","0","305","1619","2930","4288","5634","7249","9869","12464","15048","17649","20202","23489","26787","30146","33542","37021","52197","66627","81448"
"Cotswold District","247","343","636","930","1224","1520","1846","2262","2662","3063","3466","3868","4266","4666","5078","5500","5933","7799","9543","11224"
"County of Herefordshire","1453","1997","3687","5384","7095","8813","11277","14173","17048","19931","22712","25565","28307","31019","33711","36382","39068","49827","59457","68839"
"Derbyshire Dales District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","28","76","124"
"Dudley District (B)","0","284","1757","3242","4736","6232","8295","11720","15153","18546","21890","25186","29520","33839","38181","42533","46921","66266","84792","103413"
"East Staffordshire District (B)","57","79","144","211","277","344","411","494","577","660","743","830","910","992","1083","1176","1278","1785","2325","2841"
"Forest of Dean District","491","748","1552","2363","3178","3991","5000","6196","7368","8519","9641","10762","11868","12974","14091","15214","16325","20891","24957","28836"
"Gloucester District (B)","0","143","777","1416","2051","2683","3513","4802","6074","7337","8593","9897","11559","13225","14912","16609","18368","26044","33384","40876"
"High Peak District (B)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","38","62"
"Lichfield District","60","178","683","1190","1701","2204","2914","4057","5134","6157","7172","8193","9518","10843","12163","13485","14779","20374","25547","30601"
"Malvern Hills District","639","865","1587","2311","3034","3772","4834","6163","7485","8818","10144","11440","12792","14157","15524","16889","18117","23047","27229","31243"
"Newcastle-under-Lyme District (B)","90","212","831","1452","2084","2723","3587","4966","6341","7719","9112","10505","12319","14116","15907","17700","19513","27470","35077","42728"
"North Warwickshire District (B)","1","24","112","201","292","381","481","633","787","939","1092","1253","1443","1635","1831","2030","2238","3176","4107","5028"
"Powys - Powys","64","98","196","297","398","496","607","738","866","994","1121","1250","1366","1485","1606","1730","1868","2499","3157","3797"
"Redditch District (B)","0","59","413","771","1129","1489","1989","2860","3717","4559","5395","6231","7381","8533","9698","10875","12090","17460","22647","28022"
"Sandwell District (B)","0","282","1691","3105","4534","6031","8673","12375","15857","19295","22642","25991","30146","34278","38375","42484","46804","65758","84149","103356"
"Shropshire","1555","2151","4118","6105","8092","10078","12425","15452","18431","21392","24337","27318","30456","33593","36780","40000","43240","56809","69090","81005"
"Sir Fynwy - Monmouthshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","98","266","434"
"Solihull District (B)","16","227","1240","2257","3272","4292","5697","8078","10481","13023","15623","18277","21656","24979","28183","31292","34340","47155","58855","70501"
"South Gloucestershire","234","408","1090","1773","2462","3142","4063","5405","6707","7973","9233","10548","12135","13715","15286","16859","18435","25158","31367","37498"
"South Northamptonshire District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","28","76","124"
"South Staffordshire District","72","199","779","1363","1945","2533","3360","4736","6121","7550","8979","10422","12221","14020","15812","17553","19245","26413","32818","38988"
"Stafford District (B)","296","500","1341","2186","3044","3904","5074","6823","8569","10316","12081","13838","15855","17870","19879","21883","23850","32242","40034","47714"
"Staffordshire Moorlands District","175","303","859","1425","1998","2570","3348","4491","5625","6768","7901","9070","10476","11882","13297","14719","16159","22425","28407","34257"
"Stratford-on-Avon District","526","715","1363","2019","2680","3342","4349","5557","6738","7922","9114","10347","11706","13072","14438","15812","17191","23008","27889","32484"
"Stroud District","622","847","1668","2494","3316","4140","5199","6788","8303","9794","11252","12715","14400","16092","17768","19450","21105","28105","34485","40707"
"Telford and Wrekin (B)","33","166","921","1681","2436","3191","4245","6068","7850","9625","11386","13100","15448","17799","20165","22532","24876","35235","44980","54800"
"Tewkesbury District (B)","122","261","811","1375","1951","2534","3703","5233","6780","8312","9842","11314","13037","14748","16409","18033","19533","25638","30920","36071"
"Walsall District (B)","86","333","1579","2830","4082","5335","6840","9468","12074","14647","17249","19769","23151","26535","29966","33448","37039","52988","68407","84274"
"Warwick District","63","74","105","137","168","200","232","265","299","333","366","402","426","451","479","509","543","700","860","1012"
"West Oxfordshire District","12","13","16","19","22","25","28","31","35","38","41","44","47","49","53","57","65","129","223","317"
"Wiltshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","56","152","248"
"Worcester District (B)","0","105","593","1089","1583","2073","2694","3739","4788","5845","6906","7981","9347","10711","12084","13466","14893","21104","27046","33112"
"Wychavon District","236","492","1431","2371","3307","4259","5445","7044","8611","10163","11724","13223","14969","16716","18480","20266","21998","29424","36167","42755"
"Wyre Forest District","38","169","712","1265","1818","2372","3169","4369","5537","6707","7876","9098","10605","12099","13598","15087","16609","22995","28957","34929"
